2018-03-22 16:07:15,768 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-22 16:12:00,788 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2018-03-22 16:12:56,406 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-03-22 16:12:56,408 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-03-22 16:12:56,422 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-03-22 16:12:56,425 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2018-03-22 16:13:07,899 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Bravado_Workspace\clara-test-automation
2018-03-22 16:13:07,899 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2018-03-22 16:14:49,983 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Ignored given or default xjbSources [C:\Bravado_Workspace\clara-test-automation\src\main\xjb], since it is not an existent file or directory.
2018-03-22 16:14:49,993 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - No changes detected in schema or binding files - skipping JAXB generation.
2018-03-22 16:14:49,993 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-03-22 16:14:49,993 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-03-22 16:14:49,993 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-03-22 16:14:49,993 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2018-03-22 16:15:17,422 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Ignored given or default xjbSources [C:\Bravado_Workspace\clara-test-automation\src\main\xjb], since it is not an existent file or directory.
2018-03-22 16:15:17,422 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - No changes detected in schema or binding files - skipping JAXB generation.
2018-03-22 16:15:17,422 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-03-22 16:15:17,422 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-03-22 16:15:17,442 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-03-22 16:15:17,442 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2018-03-22 16:17:54,651 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Ignored given or default xjbSources [C:\Bravado_Workspace\clara-test-automation\src\main\xjb], since it is not an existent file or directory.
2018-03-22 16:17:54,651 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - No changes detected in schema or binding files - skipping JAXB generation.
2018-03-22 16:17:54,651 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-03-22 16:17:54,651 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-22 16:17:54,651 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-03-22 16:17:54,651 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-22 16:20:32,600 [Worker-6] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-03-22 16:22:38,456 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish.jaxb:jaxb-core:jar:2.2.11 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-03-22 16:22:38,475 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish.jaxb:jaxb-runtime:jar:2.2.11 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-03-22 16:22:38,495 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish.jaxb:jaxb-xjc:jar:2.2.11 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-03-22 16:22:38,512 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish.jaxb:jaxb-jxc:jar:2.2.11 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-03-22 16:22:39,017 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Ignored given or default xjbSources [C:\Bravado_Workspace\clara-test-automation\src\main\xjb], since it is not an existent file or directory.
2018-03-22 16:22:39,021 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - No changes detected in schema or binding files - skipping JAXB generation.
2018-03-22 16:22:39,275 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-03-22 16:22:39,282 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-03-22 16:22:39,289 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-03-22 16:22:39,290 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2018-03-22 17:12:58,582 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Ignored given or default xjbSources [C:\Bravado_Workspace\clara-test-automation\src\main\xjb], since it is not an existent file or directory.
2018-03-22 17:12:58,592 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - No changes detected in schema or binding files - skipping JAXB generation.
2018-03-22 17:12:58,592 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-03-22 17:12:58,592 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-22 17:12:58,602 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-03-22 17:12:58,602 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
